P,Outcome,Importance Raiting,Satisfaction Raiting
P37,Confidence that your land will be successful when skipping/bypassing a signal,2,3
P38,Confidence that your land will be successful when skipping/bypassing a signal,3,4
P39,Confidence that your land will be successful when skipping/bypassing a signal,3,4
P40,Confidence that your land will be successful when skipping/bypassing a signal,1,5
P41,Confidence that your land will be successful when skipping/bypassing a signal,3,3
P42,Confidence that your land will be successful when skipping/bypassing a signal,4,4
P43,Confidence that your land will be successful when skipping/bypassing a signal,3,4
P44,Confidence that your land will be successful when skipping/bypassing a signal,1,5
P45,Confidence that your land will be successful when skipping/bypassing a signal,3,2
P46,Confidence that your land will be successful when skipping/bypassing a signal,4,4
P47,Confidence that your land will be successful when skipping/bypassing a signal,3,4
P48,Confidence that your land will be successful when skipping/bypassing a signal,3,2
P49,Confidence that your land will be successful when skipping/bypassing a signal,4,2
P50,Confidence that your land will be successful when skipping/bypassing a signal,5,5
P51,Confidence that your land will be successful when skipping/bypassing a signal,4,4
P52,Confidence that your land will be successful when skipping/bypassing a signal,3,4
P53,Confidence that your land will be successful when skipping/bypassing a signal,4,4
P54,Confidence that your land will be successful when skipping/bypassing a signal,3,2
P55,Confidence that your land will be successful when skipping/bypassing a signal,3,4
P56,Confidence that your land will be successful when skipping/bypassing a signal,2,3
P57,Confidence that your land will be successful when skipping/bypassing a signal,3,3
P58,Confidence that your land will be successful when skipping/bypassing a signal,1,4
P59,Confidence that your land will be successful when skipping/bypassing a signal,5,2
P60,Confidence that your land will be successful when skipping/bypassing a signal,2,5
P61,Confidence that your land will be successful when skipping/bypassing a signal,1,3
P62,Confidence that your land will be successful when skipping/bypassing a signal,4,3
P1,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,3
P2,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,3
P3,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,4
P4,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,4
P5,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,4
P6,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,2
P7,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,4
P8,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",2,3
P9,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,5
P10,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,3
P11,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",1,5
P12,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,4
P13,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,5
P14,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,3
P15,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,4
P16,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",2,3
P17,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,5
P18,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",1,5
P19,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,4
P20,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,5
P21,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,4
P22,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,3
P23,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,4
P24,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,3
P25,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",1,3
P26,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,4
P27,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,3
P28,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,4
P29,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,3
P30,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",1,5
P31,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,1
P32,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,4
P33,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,4
P34,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,4
P35,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,2
P36,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,3
P37,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",2,4
P38,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,3
P39,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,4
P40,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",1,5
P41,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,4
P42,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,3
P43,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,2
P44,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,4
P45,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,4
P46,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",1,5
P47,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,2
P48,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,2
P49,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",1,5
P50,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,3
P51,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",1,5
P52,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,3
P53,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,4
P54,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,5
P55,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",4,3
P56,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,4
P57,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",1,5
P58,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,4
P59,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",1,5
P60,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",3,3
P61,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",5,4
P62,"Reduce the time it takes to add a new test on my Diff using a well-supported framework (e.g. WWWTest, Instrumentation test, Robolectric test, JestE2E test)",2,3
P1,Understand the risk of landing my Diff while bypassing failures,3,4
P2,Understand the risk of landing my Diff while bypassing failures,5,5
P3,Understand the risk of landing my Diff while bypassing failures,3,4
P4,Understand the risk of landing my Diff while bypassing failures,5,3
P5,Understand the risk of landing my Diff while bypassing failures,5,5
P6,Understand the risk of landing my Diff while bypassing failures,5,5
P7,Understand the risk of landing my Diff while bypassing failures,4,4
P8,Understand the risk of landing my Diff while bypassing failures,2,2
P9,Understand the risk of landing my Diff while bypassing failures,5,5
P10,Understand the risk of landing my Diff while bypassing failures,3,4
P11,Understand the risk of landing my Diff while bypassing failures,5,3
P12,Understand the risk of landing my Diff while bypassing failures,4,5
P13,Understand the risk of landing my Diff while bypassing failures,3,4
P14,Understand the risk of landing my Diff while bypassing failures,4,2
P15,Understand the risk of landing my Diff while bypassing failures,4,2
P16,Understand the risk of landing my Diff while bypassing failures,2,3
P17,Understand the risk of landing my Diff while bypassing failures,5,5
P18,Understand the risk of landing my Diff while bypassing failures,4,4
P19,Understand the risk of landing my Diff while bypassing failures,5,5
P20,Understand the risk of landing my Diff while bypassing failures,4,4
P21,Understand the risk of landing my Diff while bypassing failures,3,4
P22,Understand the risk of landing my Diff while bypassing failures,4,5
P23,Understand the risk of landing my Diff while bypassing failures,4,5
P24,Understand the risk of landing my Diff while bypassing failures,4,3
P25,Understand the risk of landing my Diff while bypassing failures,4,4
P26,Understand the risk of landing my Diff while bypassing failures,3,3
P27,Understand the risk of landing my Diff while bypassing failures,5,4
P28,Understand the risk of landing my Diff while bypassing failures,4,2
P29,Understand the risk of landing my Diff while bypassing failures,4,4
P30,Understand the risk of landing my Diff while bypassing failures,3,3
P31,Understand the risk of landing my Diff while bypassing failures,3,4
P32,Understand the risk of landing my Diff while bypassing failures,4,5
P33,Understand the risk of landing my Diff while bypassing failures,3,3
P34,Understand the risk of landing my Diff while bypassing failures,5,5
P35,Understand the risk of landing my Diff while bypassing failures,2,3
P36,Understand the risk of landing my Diff while bypassing failures,5,5
P37,Understand the risk of landing my Diff while bypassing failures,3,4
P38,Understand the risk of landing my Diff while bypassing failures,4,5
P39,Understand the risk of landing my Diff while bypassing failures,4,4
P40,Understand the risk of landing my Diff while bypassing failures,1,5
P41,Understand the risk of landing my Diff while bypassing failures,3,3
P42,Understand the risk of landing my Diff while bypassing failures,5,4
P43,Understand the risk of landing my Diff while bypassing failures,3,3
P44,Understand the risk of landing my Diff while bypassing failures,4,4
P45,Understand the risk of landing my Diff while bypassing failures,4,5
P46,Understand the risk of landing my Diff while bypassing failures,4,4
P47,Understand the risk of landing my Diff while bypassing failures,2,3
P48,Understand the risk of landing my Diff while bypassing failures,5,2
P49,Understand the risk of landing my Diff while bypassing failures,3,4
P50,Understand the risk of landing my Diff while bypassing failures,5,5
P51,Understand the risk of landing my Diff while bypassing failures,4,4
P52,Understand the risk of landing my Diff while bypassing failures,1,4
P53,Understand the risk of landing my Diff while bypassing failures,5,5
P54,Understand the risk of landing my Diff while bypassing failures,4,1
P55,Understand the risk of landing my Diff while bypassing failures,3,4
P56,Understand the risk of landing my Diff while bypassing failures,3,4
P57,Understand the risk of landing my Diff while bypassing failures,4,4
P58,Understand the risk of landing my Diff while bypassing failures,2,2
P59,Understand the risk of landing my Diff while bypassing failures,1,5
P60,Understand the risk of landing my Diff while bypassing failures,3,4
P61,Understand the risk of landing my Diff while bypassing failures,5,4
P62,Understand the risk of landing my Diff while bypassing failures,4,3
P1,Reduce the chance my diff will break trunk,5,5
P2,Reduce the chance my diff will break trunk,3,3
P3,Reduce the chance my diff will break trunk,5,4
P4,Reduce the chance my diff will break trunk,5,5
P5,Reduce the chance my diff will break trunk,5,5
P6,Reduce the chance my diff will break trunk,5,5
P7,Reduce the chance my diff will break trunk,5,4
P8,Reduce the chance my diff will break trunk,5,4
P9,Reduce the chance my diff will break trunk,5,5
P10,Reduce the chance my diff will break trunk,3,3
P11,Reduce the chance my diff will break trunk,5,4
P12,Reduce the chance my diff will break trunk,3,5
P13,Reduce the chance my diff will break trunk,4,4
P14,Reduce the chance my diff will break trunk,3,3
P15,Reduce the chance my diff will break trunk,5,5
P16,Reduce the chance my diff will break trunk,2,3
P17,Reduce the chance my diff will break trunk,5,5
P18,Reduce the chance my diff will break trunk,5,4
P19,Reduce the chance my diff will break trunk,5,4
P20,Reduce the chance my diff will break trunk,5,5
P21,Reduce the chance my diff will break trunk,5,5
P22,Reduce the chance my diff will break trunk,4,4
P23,Reduce the chance my diff will break trunk,3,3
P24,Reduce the chance my diff will break trunk,4,3
P25,Reduce the chance my diff will break trunk,5,4
P26,Reduce the chance my diff will break trunk,5,5
P27,Reduce the chance my diff will break trunk,5,2
P28,Reduce the chance my diff will break trunk,4,4
P29,Reduce the chance my diff will break trunk,5,4
P30,Reduce the chance my diff will break trunk,4,3
P31,Reduce the chance my diff will break trunk,3,4
P32,Reduce the chance my diff will break trunk,5,5
P33,Reduce the chance my diff will break trunk,4,3
P34,Reduce the chance my diff will break trunk,5,5
P35,Reduce the chance my diff will break trunk,5,4
P36,Reduce the chance my diff will break trunk,5,5
P37,Reduce the chance my diff will break trunk,5,4
P38,Reduce the chance my diff will break trunk,5,4
P39,Reduce the chance my diff will break trunk,3,4
P40,Reduce the chance my diff will break trunk,5,4
P41,Reduce the chance my diff will break trunk,4,4
P42,Reduce the chance my diff will break trunk,5,4
P43,Reduce the chance my diff will break trunk,3,3
P44,Reduce the chance my diff will break trunk,4,3
P45,Reduce the chance my diff will break trunk,3,4
P46,Reduce the chance my diff will break trunk,5,4
P47,Reduce the chance my diff will break trunk,5,2
P48,Reduce the chance my diff will break trunk,5,5
P49,Reduce the chance my diff will break trunk,4,4
P50,Reduce the chance my diff will break trunk,5,4
P51,Reduce the chance my diff will break trunk,4,4
P52,Reduce the chance my diff will break trunk,3,3
P53,Reduce the chance my diff will break trunk,5,5
P54,Reduce the chance my diff will break trunk,5,5
P55,Reduce the chance my diff will break trunk,4,3
P56,Reduce the chance my diff will break trunk,5,5
P57,Reduce the chance my diff will break trunk,4,3
P58,Reduce the chance my diff will break trunk,5,4
P59,Reduce the chance my diff will break trunk,4,3
P60,Reduce the chance my diff will break trunk,2,4
P61,Reduce the chance my diff will break trunk,5,4
P62,Reduce the chance my diff will break trunk,5,4
P1,Easily track the progress of my land,2,3
P2,Easily track the progress of my land,4,4
P3,Easily track the progress of my land,3,5
P4,Easily track the progress of my land,4,2
P5,Easily track the progress of my land,4,5
P6,Easily track the progress of my land,5,1
P7,Easily track the progress of my land,3,5
P8,Easily track the progress of my land,4,5
P9,Easily track the progress of my land,5,5
P10,Easily track the progress of my land,3,5
P11,Easily track the progress of my land,4,4
P12,Easily track the progress of my land,5,3
P13,Easily track the progress of my land,5,5
P14,Easily track the progress of my land,2,3
P15,Easily track the progress of my land,5,4
P16,Easily track the progress of my land,5,4
P17,Easily track the progress of my land,5,5
P18,Easily track the progress of my land,3,2
P19,Easily track the progress of my land,2,5
P20,Easily track the progress of my land,4,4
P21,Easily track the progress of my land,2,5
P22,Easily track the progress of my land,3,4
P23,Easily track the progress of my land,2,5
P24,Easily track the progress of my land,4,4
P25,Easily track the progress of my land,4,5
P26,Easily track the progress of my land,5,5
P27,Easily track the progress of my land,4,4
P28,Easily track the progress of my land,5,5
P29,Easily track the progress of my land,2,3
P30,Easily track the progress of my land,3,3
P31,Easily track the progress of my land,2,3
P32,Easily track the progress of my land,4,4
P33,Easily track the progress of my land,3,4
P34,Easily track the progress of my land,3,4
P35,Easily track the progress of my land,3,5
P36,Easily track the progress of my land,5,5
P37,Easily track the progress of my land,2,5
P38,Easily track the progress of my land,3,5
P39,Easily track the progress of my land,5,5
P40,Easily track the progress of my land,4,5
P41,Easily track the progress of my land,4,4
P42,Easily track the progress of my land,5,5
P43,Easily track the progress of my land,3,4
P44,Easily track the progress of my land,3,3
P45,Easily track the progress of my land,4,5
P46,Easily track the progress of my land,3,3
P47,Easily track the progress of my land,2,4
P48,Easily track the progress of my land,3,5
P49,Easily track the progress of my land,3,5
P50,Easily track the progress of my land,5,5
P51,Easily track the progress of my land,5,4
P52,Easily track the progress of my land,2,5
P53,Easily track the progress of my land,5,5
P54,Easily track the progress of my land,4,4
P55,Easily track the progress of my land,4,5
P56,Easily track the progress of my land,3,4
P57,Easily track the progress of my land,3,2
P58,Easily track the progress of my land,5,5
P59,Easily track the progress of my land,5,4
P60,Easily track the progress of my land,4,4
P61,Easily track the progress of my land,2,5
P62,Easily track the progress of my land,4,3
P1,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P2,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P3,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,3
P4,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,4
P5,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P6,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P7,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,3
P8,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,1
P9,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P10,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,4
P11,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,2
P12,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,4
P13,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,3
P14,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,1
P15,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,2
P16,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",5,5
P17,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",5,5
P18,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P19,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,3
P20,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P21,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P22,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",1,3
P23,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,3
P24,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,3
P25,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,4
P26,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,5
P27,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,3
P28,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,2
P29,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",1,5
P30,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P31,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,2
P32,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,3
P33,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,2
P34,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,4
P35,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,3
P36,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,3
P37,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,3
P38,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,3
P39,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P40,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,4
P41,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P42,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P43,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,2
P44,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,3
P45,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,5
P46,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,2
P47,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,2
P48,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,2
P49,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P50,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,3
P51,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",1,3
P52,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,2
P53,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",5,4
P54,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P55,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,4
P56,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",1,3
P57,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,3
P58,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",1,3
P59,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",4,4
P60,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P61,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",2,5
P62,"During landing, reduce the chance that SignalBox/Sandcastle ________ ________ ______________ ____ ________ ________ __________________",3,3
P1,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",4,4
P2,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",4,4
P3,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",4,4
P4,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",5,4
P5,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",4,5
P6,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",5,5
P7,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",4,3
P8,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",4,4
P9,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",2,3
P10,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",4,4
P11,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",5,5
P12,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",3,3
P13,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",3,4
P14,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",3,3
P15,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",3,5
P16,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",3,3
P17,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",5,5
P18,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",5,3
P19,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",5,4
P20,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",5,4
P21,"During landing, reduce the chance that SignalBox/Sandcastle __________ ______________ ____ __________________ ____________ ____ ____ ________",5,4
